city_ascii,lat,lng,country,division
Chapeco,-27.0958,-52.6178,Brazil,Oceania
Sandton,-26.107,28.0517,South Africa,Africa
Tanjore,10.8,79.15,India,Asia
Staryy Oskol,51.2981,37.835,Russia,Europe
Itajai,-26.9078,-48.6619,Brazil,Oceania
Puri,19.8,85.8167,India,Asia
Cartago,9.8667,-83.9167,Costa Rica,North America
Ji'an Shi,41.1231,126.1815,China,Asia
Soledad de Graciano Sanchez,22.1833,-100.9333,Mexico,North America
Presidente Prudente,-22.1258,-51.3889,Brazil,Oceania
Jose C. Paz,-34.5167,-58.7667,Argentina,Oceania
Ternopil,49.5667,25.6,Ukraine,Europe
Rufisque,14.7167,-17.2667,Senegal,Africa
Formosa,-26.1847,-58.1758,Argentina,Oceania
Sabadell,41.5483,2.1075,Spain,Europe
Gueckedou,8.5667,-10.1333,Guinea,Africa
Sambhal,28.58,78.55,India,Asia
Polokwane,-23.9,29.45,South Africa,Africa
Neyshabur,36.22,58.82,Iran,Asia
Sidon,33.5606,35.3981,Lebanon,Asia
Radom,51.4036,21.1567,Poland,Europe
Lutsk,50.7478,25.3244,Ukraine,Europe
Oviedo,43.36,-5.845,Spain,Europe
Gulfport,30.4271,-89.0703,United States,North America
Saveh,35.0211,50.3564,Iran,Asia
La Vega,19.2242,-70.5283,Dominican Republic,North America
Appleton,44.2779,-88.3891,United States,North America
Khomeyni Shahr,32.7,51.5211,Iran,Asia
Juazeiro,-9.4139,-40.5028,Brazil,Oceania
Itabuna,-14.7858,-39.28,Brazil,Oceania
Al Khubar,26.3,50.2167,Saudi Arabia,Asia
Islington,51.544,-0.1027,United Kingdom,Europe
Cordoba,18.8942,-96.9347,Mexico,North America
Ciudad Acuna,29.3242,-100.9317,Mexico,North America
Tulua,4.0847,-76.1986,Colombia,Oceania
Mainz,50,8.2667,Germany,Europe
